"Date Time, GMT-07:00","Water Content, m³/m³ (SEN S/N: 20084292, LBL: West1)","Water Content, m³/m³ (SEN S/N: 20084293, LBL: West2)","Water Content, m³/m³ (SEN S/N: 20084294, LBL: East1)","Water Content, m³/m³ (SEN S/N: 20084295, LBL: East2)"
17-06-07 11:51:06.0,-0.1196,-0.1341,-0.1384,-0.1123
17-06-07 12:01:06.0,-0.0869,-0.1334,-0.1384,-0.1268
17-06-07 12:11:06.0,-0.0447,-0.1304,-0.1123,-0.0999
17-06-07 12:21:06.0,-0.0600,-0.1319,-0.1094,-0.0934
17-06-07 12:31:06.0,-0.0556,-0.1261,-0.1043,-0.0854
17-06-07 12:41:06.0,-0.0469,-0.1341,-0.1036,-0.0861
17-06-07 12:51:06.0,-0.0491,-0.1348,-0.1028,-0.0861
17-06-07 13:01:06.0,-0.0520,-0.1384,-0.1065,-0.0927
17-06-07 13:11:06.0,-0.0549,-0.1341,-0.1058,-0.0920
17-06-07 13:21:06.0,-0.0556,-0.1341,-0.1058,-0.0912
17-06-07 13:31:06.0,-0.0556,-0.1341,-0.1065,-0.0905
17-06-07 13:41:06.0,-0.0556,-0.1341,-0.1065,-0.0905
17-06-07 13:51:06.0,-0.0564,-0.1341,-0.1065,-0.0905
17-06-07 14:01:06.0,-0.0549,-0.1341,-0.1065,-0.0912
17-06-07 14:11:06.0,-0.0542,-0.1341,-0.1065,-0.0905
17-06-07 14:21:06.0,-0.0549,-0.1334,-0.1065,-0.0905
17-06-07 14:31:06.0,-0.0549,-0.1348,-0.1065,-0.0890
17-06-07 14:41:06.0,-0.0542,-0.1341,-0.1065,-0.0905
17-06-07 14:51:06.0,-0.0556,-0.1341,-0.1065,-0.0890
17-06-07 15:01:06.0,-0.0549,-0.1341,-0.1065,-0.0898
17-06-07 15:11:06.0,-0.0549,-0.1341,-0.1065,-0.0905
17-06-07 15:21:06.0,-0.0542,-0.1341,-0.1065,-0.0905
17-06-07 15:31:06.0,-0.0549,-0.1334,-0.1065,-0.0905
17-06-07 15:41:06.0,-0.0542,-0.1348,-0.1065,-0.0905
17-06-07 15:51:06.0,-0.0549,-0.1341,-0.1072,-0.0905
17-06-07 16:01:06.0,-0.0549,-0.1334,-0.1072,-0.0905
17-06-07 16:11:06.0,-0.0549,-0.1341,-0.1065,-0.0905
17-06-07 16:21:06.0,-0.0549,-0.1341,-0.1072,-0.0898
17-06-07 16:31:06.0,-0.0549,-0.1341,-0.1072,-0.0898
17-06-07 16:41:06.0,-0.0556,-0.1341,-0.1072,-0.0898
17-06-07 16:51:06.0,-0.0549,-0.1348,-0.1072,-0.0905
17-06-07 17:01:06.0,-0.0549,-0.1348,-0.1065,-0.0890
17-06-07 17:11:06.0,-0.0549,-0.1348,-0.1072,-0.0898
17-06-07 17:21:06.0,-0.0549,-0.1348,-0.1072,-0.0890
17-06-07 17:31:06.0,-0.0549,-0.1355,-0.1072,-0.0898
17-06-07 17:41:06.0,-0.0549,-0.1348,-0.1072,-0.0898
17-06-07 17:51:06.0,-0.0549,-0.1355,-0.1072,-0.0898
17-06-07 18:01:06.0,-0.0549,-0.1355,-0.1072,-0.0898
